0.66, 0.02, 1000, 10, 4, 1000, 157
0.12, 0.02, 1000, 10, 4, 1000, 158
0.12, 0.02, 1000, 10, 4, 1000, 153
0.12, 0.02, 1000, 10, 4, 1000, 149
0.18, 0.02, 1000, 10, 4, 1000, 150
0.12, 0.02, 1000, 10, 4, 1000, 152
0.12, 0.02, 1000, 10, 4, 1000, 156
0.06, 0.02, 1000, 10, 4, 1000, 157
0.12, 0.02, 1000, 10, 4, 1000, 157
0.18, 0.02, 1000, 10, 4, 1000, 159
0.12, 0.02, 1000, 10, 4, 1000, 160
0.12, 0.02, 1000, 10, 4, 1000, 159
0.12, 0.02, 1000, 10, 4, 1000, 158
0.12, 0.02, 1000, 10, 4, 1000, 155
0.06, 0.02, 1000, 10, 4, 1000, 153
0.12, 0.02, 1000, 10, 4, 1000, 149
0.18, 0.02, 1000, 10, 4, 1000, 148
0.06, 0.02, 1000, 10, 4, 1000, 147
0.18, 0.02, 1000, 10, 4, 1000, 150
0.12, 0.02, 1000, 10, 4, 1000, 152
0.06, 0.02, 1000, 10, 4, 1000, 150
0.12, 0.02, 1000, 10, 4, 1000, 147
0.12, 0.02, 1000, 10, 4, 1000, 149
0.06, 0.02, 1000, 10, 4, 1000, 151
0.12, 0.02, 1000, 10, 4, 1000, 149
0.12, 0.02, 1000, 10, 4, 1000, 145
0.12, 0.02, 1000, 10, 4, 1000, 147
0.12, 0.02, 1000, 10, 4, 1000, 155
0.12, 0.02, 1000, 10, 4, 1000, 162
0.12, 0.02, 1000, 10, 4, 1000, 164
0.12, 0.02, 1000, 10, 4, 1000, 169
0.06, 0.02, 1000, 10, 4, 1000, 168
0.12, 0.02, 1000, 10, 4, 1000, 163
0.12, 0.02, 1000, 10, 4, 1000, 162
0.12, 0.02, 1000, 10, 4, 1000, 165
0.12, 0.02, 1000, 10, 4, 1000, 164
0.12, 0.02, 1000, 10, 4, 1000, 164
0.12, 0.02, 1000, 10, 4, 1000, 163
0.12, 0.02, 1000, 10, 4, 1000, 164
0.12, 0.02, 1000, 10, 4, 1000, 161
0.12, 0.02, 1000, 10, 4, 1000, 161
0.18, 0.02, 1000, 10, 4, 1000, 160
0.12, 0.02, 1000, 10, 4, 1000, 161
0.06, 0.02, 1000, 10, 4, 1000, 161
0.12, 0.02, 1000, 10, 4, 1000, 161
0.12, 0.02, 1000, 10, 4, 1000, 163
0.12, 0.02, 1000, 10, 4, 1000, 161
0.12, 0.02, 1000, 10, 4, 1000, 164
0.12, 0.02, 1000, 10, 4, 1000, 160
0.12, 0.02, 1000, 10, 4, 1000, 158
0.12, 0.02, 1000, 10, 4, 1000, 157
0.12, 0.02, 1000, 10, 4, 1000, 155
0.12, 0.02, 1000, 10, 4, 1000, 154
0.12, 0.02, 1000, 10, 4, 1000, 153
0.12, 0.02, 1000, 10, 4, 1000, 149
0.12, 0.02, 1000, 10, 4, 1000, 147
0.06, 0.02, 1000, 10, 4, 1000, 144
0.12, 0.02, 1000, 10, 4, 1000, 142
0.12, 0.02, 1000, 10, 4, 1000, 146
0.12, 0.02, 1000, 10, 4, 1000, 145
0.12, 0.02, 1000, 10, 4, 1000, 141
0.06, 0.02, 1000, 10, 4, 1000, 140
0.12, 0.02, 1000, 10, 4, 1000, 141
0.12, 0.02, 1000, 10, 4, 1000, 142
0.12, 0.02, 1000, 10, 4, 1000, 141
0.12, 0.02, 1000, 10, 4, 1000, 145
0.12, 0.02, 1000, 10, 4, 1000, 150
0.06, 0.02, 1000, 10, 4, 1000, 154
0.12, 0.02, 1000, 10, 4, 1000, 152
0.12, 0.02, 1000, 10, 4, 1000, 153
0.12, 0.02, 1000, 10, 4, 1000, 151
0.12, 0.02, 1000, 10, 4, 1000, 152
0.12, 0.02, 1000, 10, 4, 1000, 151
0.12, 0.02, 1000, 10, 4, 1000, 153
