0.6, 0, 1000
0.06, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.18, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.18, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.18, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.18, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.18, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.18, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.18, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
0.06, 0, 1000
0.12, 0, 1000
0.12, 0, 1000
